County,Hospital,Longitude,Latitude
Carlow,St. Dympna's Hospital,-6.9251500,52.843900
Cavan,Cavan General Hospital,-7.3744135,53.998658
Clare,"Mid-Western Regional Hospital, Ennis",-8.9833165,52.851081
Clare,"St. Johns Hospital, Ennis",-8.9887384,52.847426
Clare,"Caherkalla Hospice & Private Hospital, Ennis",-8.9887384,52.847426
Cork ,"Bantry General Hospital, Bantry",-9.4497243,51.676215
Cork ,Bon Secours Hospital,-8.4970120,51.891357
Cork ,Cork University Hospital,-8.5088635,51.883406
Cork ,Erinville Hospital,-8.4876725,51.896173
Cork ,"Mallow General Hospital, Mallow",-8.6540106,52.142792
Cork ,Marymount Hospital,-8.5423476,51.871162
Cork ,Mercy Hospital,-8.4825817,51.898524
Cork ,Shanakiel Hospital,-8.5163633,51.883796
Cork ,South Infirmary Victoria University Hospital,-8.4633364,51.893365
Cork ,"Bandon Community Hospital, Bandon",-8.7245880,51.743993
Cork ,"St. Anthony's Hospital, Dunmanway",-9.0898075,51.729391
Cork ,St. Finbarr's Hospital,-8.4612696,51.889818
Cork ,St. Mary's Orthopaedic Hospital,-8.4983191,51.905872
Cork ,"St. Stephen's Hospital, Glanmire",-8.3990678,51.952817
Cork ,"St. Patrick's Hospital, Fermoy",-8.2559120,52.139014
Cork ,"Tabor Lodge, Tabor",-8.4863157,51.896892
Donegal,Ballyshannon,-8.1920416,54.502988
Donegal,"Carndonagh Community Hospital, Carndonagh",-7.2677041,55.245291
Donegal,"Donegal Community Hospital, Donegal Town",-8.4388963,54.637887
Donegal,"Dungloe Community Hospital, Dungloe",-8.3576462,54.951957
Donegal,"Killybegs Community Hospital, Killybegs",-8.4388963,54.637887
Donegal,"Letterkenny General Hospital, Letterkenny",-7.7343940,54.959235
Donegal,"Lifford Community Hospital, Lifford",-7.4833755,54.831285
Donegal,"St. Conal's Psychiatric Hospital, Letterkenny",-7.7312422,54.959594
Dublin,"Beacon Hospital, Sandyford",-6.2197421,53.276756
Dublin,Beaumont Hospital,-6.2239694,53.389906
Dublin,"Blackrock Clinic, Blackrock",-6.1877160,53.304768
Dublin,"Bloomfield Care Centre, Rathfarnham",-6.2603097,53.349805
Dublin,Bon Secours Hospital,-6.2683330,53.374861
Dublin,"Cappagh National Orthopaedic Hospital, Finglas",-6.3211287,53.395113
Dublin,"Central Mental Hospital, Dundrum",-6.2456273,53.301251
Dublin,"Cherry Orchard Hospital, Ballyfermot",-6.3780162,53.343414
Dublin,"Children's University Hospital, Temple Street",-6.2619817,53.356904
Dublin,"Clonskeagh Hospital, Clonskeagh",-6.2393292,53.315803
Dublin,"Coombe Women's Hospital, Dolphin's Barn",-6.2885074,53.334833
Dublin,"Hermitage Medical Clinic, Lucan",-6.4059305,53.359424
Dublin,"Highfield Hospital, Whitehall",-6.2466622,53.379588
Dublin,"Incorporated Orthopaedic Hospital of Ireland, Clontarf",-6.2016427,53.366970
Dublin,"Connolly Hospital, Blanchardstown",-6.3686728,53.389177
Dublin,"Leopardstown Park Hospital, Foxrock",-6.2025325,53.270083
Dublin,Mater Misericordiae University Hospital,-6.2669580,53.360011
Dublin,"Mater Private Hospital, Eccles Street",-6.2646444,53.357957
Dublin,"Mount Carmel Hospital, Churchtown",-6.2658231,53.303855
Dublin,"National Maternity Hospital, Holles Street",-6.2459930,53.340249
Dublin,"National Rehabilitation Hospital, Dun Laoghaire",-6.1513442,53.275800
Dublin,"Our Lady's Children's Hospital, Crumlin",-6.3174136,53.326087
Dublin,"Peamount Hospital, Newcastle",-6.4815400,53.316780
Dublin,The Rotunda Maternity Hospital,-6.2897506,53.334752
Dublin,"Royal City of Dublin Hospital, Baggot Street",-6.2438751,53.333373
Dublin,"The Royal Hospital, Donnybrook",-6.2480660,53.324683
Dublin,"Royal Victoria Eye and Ear Hospital, Adelaide Road",-6.2560485,53.332818
Dublin,St. Brendan's Hospital,-6.3181386,53.367809
Dublin,"St. Bricin's Military Hospital, Arbour Hill",-6.2904942,53.351677
Dublin,"St. Columcille's Hospital, Loughlinstown",-6.1330734,53.242615
Dublin,"St. Edmundsbury Hospital, Lucan",-6.4380740,53.362794
