Carlow,54612,27431,27181,12149,36252,6211,50.23,49.77,22.25,66.38,11.37
Cavan,73183,37013,36170,17232,47085,8866,50.58,49.42,23.55,64.34,12.11
Clare,117196,58298,58898,26081,76596,14519,49.74,50.26,22.25,65.36,12.39
Cork,519032,257470,261562,109503,347149,62380,49.61,50.39,21.1,66.88,12.02
Donegal,161137,80523,80614,36949,102717,21471,49.97,50.03,22.93,63.75,13.32
Dublin,1273069,619902,653167,245252,888541,139276,48.69,51.31,19.26,69.8,10.94
Galway,250653,124758,125895,52186,169418,29049,49.77,50.23,20.82,67.59,11.59
Kerry,145502,72629,72873,29352,95162,20988,49.92,50.08,20.17,65.4,14.42
Kildare,210312,104658,105654,51568,142088,16656,49.76,50.24,24.52,67.56,7.92
Kilkenny,95419,47788,47631,21200,62529,11690,50.08,49.92,22.22,65.53,12.25
Laois,80559,40587,39972,19913,52546,8100,50.38,49.62,24.72,65.23,10.05
Leitrim,31798,16144,15654,6879,20213,4706,50.77,49.23,21.63,63.57,14.8
Limerick,191809,95815,95994,39064,129432,23313,49.95,50.05,20.37,67.48,12.15
Longford,39000,19649,19351,9045,25072,4883,50.38,49.62,23.19,64.29,12.52
Louth,122897,60763,62134,28662,80758,13477,49.44,50.56,23.32,65.71,10.97
Mayo,130638,65420,65218,27313,83786,19539,50.08,49.92,20.91,64.14,14.96
Meath,184135,91910,92225,46466,121347,16322,49.91,50.09,25.23,65.9,8.86
Monaghan,60483,30441,30042,13490,39533,7460,50.33,49.67,22.3,65.36,12.33
Offaly,76687,38430,38257,17955,49823,8909,50.11,49.89,23.41,64.97,11.62
Roscommon,64065,32353,31712,13580,41089,9396,50.5,49.5,21.2,64.14,14.67
Sligo,65393,32435,32958,13109,43241,9043,49.6,50.4,20.05,66.12,13.83
Tipperary,158754,79584,79170,34386,103172,21196,50.13,49.87,21.66,64.99,13.35
Waterford,113795,56464,57331,24580,74436,14779,49.62,50.38,21.6,65.41,12.99
Westmeath,86164,42783,43381,19440,56928,9796,49.65,50.35,22.56,66.07,11.37
Wexford,145320,71909,73411,33064,93889,18367,49.48,50.52,22.75,64.61,12.64
Wicklow,136640,67542,69098,31172,90467,15001,49.43,50.57,22.81,66.21,10.98
