Location,Longitude,Latitude,Service Type
"Ardee Health Centre, Market St, Ardee, Co. Louth",-6.5405911,53.8579378,Ambulance
"Ardee Health Centre, Market St, Ardee, Co. Louth",-6.5405911,53.8579378,RRV
"Arklow Health Centre,  Castle Park, Arklow, County Wicklow",-6.1599293,52.7976935,Ambulance
"Athlone Health Centre, Coosan Point Rd, Athlone, Co. Westmeath",-7.9405462,53.4270302,Ambulance
"Athy Health Centre, Woodstock St, Athy, Co. Kildare",-6.9915342,52.9946287,Ambulance
"Ballina Health Centre, Mercy Rd, Ballina, Co. Mayo ,  ",-9.1642676,54.1147848,Ambulance
"Ballinasloe, Co. Galway",-8.2269467,53.3287621,Ambulance
"Ballingarry Health Centre, Thurles, Tipperary            ",-7.5410664,52.5862131,Ambulance
"Ballyshannon,      ",-8.1920416,54.5029882,Ambulance
"Baltinglass District Hospital, Baltinglass, Wicklow",-6.6791276,52.9315165,Ambulance
"Bantry General Hospital, Bantry, Co. Cork         ",-9.4497243,51.6762152,Ambulance
"Bantry General Hospital, Bantry, Co. Cork ,  ",-9.4497243,51.6762152,RRV
"Belmullet, Co. Mayo",-9.9876028,54.2238996,Ambulance
"Birr Health Centre, Sandymount, Birr, Co. Offaly",-6.3766634,53.2907225,Ambulance
"Cahersiveen, Co. Kerry",-10.2209047,51.9477992,Ambulance
"Carndonagh Health Centre, Co. Donegal",-7.2700000,55.25,Ambulance
"Carraroe Health Centre, Main St, Carraroe, Co. Galway",-9.6066412,53.2611794,RRV
"Carrick-On-Shannon, Co. Leitrim",-8.1012765,53.93961849,Ambulance
"Castlebar Health Centre, County Clinic, Westport Road, Castlebar, Co. Mayo",-9.2949070,53.8537859,Ambulance
"Castleblayney Health Centre, Thomas St, Castleblayney, Co. Monaghan",-6.7348186,54.1192034,Ambulance
"Castletownbere Health Centre, Castletown-Bearhaven, Co. Cork",-9.9103302,51.6514954,Ambulance
"Cavan General Hospital, Co. Cavan,   ",-7.4021067,53.9862007,Ambulance
"Celbridge Health Centre, Maynooth Rd, Celbridge, Co. Kildare ",-6.5425666,53.3484331,Ambulance
"Cherry Orchard Hospital, Ballyfermot Rd, Dublin 10",-6.3780162,53.3434141,MB
"Clifden District Hospital, Hospital Rd, Clifden, Co. Galway",-10.0155777,53.4895293,Ambulance
"Clonakilty (Hospital Cross Eastbound), Co. Cork.",-8.8740653,51.6339698,Ambulance
